iter	RMSE
0	0.8039048703
1	0.745923824
2	0.6959367855
3	0.6495129889
4	0.6087065728
5	0.5712397305
6	0.5374434391
7	0.5075824691
8	0.4809682497
9	0.4596417354
10	0.4402365429
11	0.4202503241
12	0.4044307391
13	0.3892002116
14	0.3768050857
15	0.3658451742
16	0.3549338986
17	0.3448789833
18	0.3354570358
19	0.3273649987
20	0.3206475467
21	0.3133563665
22	0.3075165607
23	0.3022362464
24	0.2970266435
25	0.2918551449
26	0.2875026284
27	0.2833218833
28	0.2795433978
29	0.276410346
30	0.2731224898
31	0.2702182018
32	0.2674510799
33	0.2647028846
34	0.2628492016
35	0.2607174701
36	0.258783061
37	0.2568157883
38	0.2549094981
39	0.2531374138
40	0.2515840888
41	0.2497196407
42	0.2481306286
43	0.2467160214
44	0.2452193722
45	0.2438204218
46	0.2424226821
47	0.2411304545
48	0.2396821485
49	0.2385427122
50	0.2374204624
51	0.2363949319
52	0.2355356526
53	0.2347523242
54	0.2338120058
55	0.2329807291
56	0.2319238094
57	0.2310259017
58	0.2301562198
59	0.2294307471
60	0.2286220347
61	0.2277926944
62	0.2270389666
63	0.2259505623
64	0.2251891307
65	0.2245395958
66	0.2244011809
67	0.2239403069
68	0.2232534898
69	0.2226523376
70	0.2220647918
71	0.2214272303
72	0.2210886596
73	0.2206117866
74	0.2201372696
75	0.2196394734
76	0.2188229783
77	0.2182121376
78	0.217802377
79	0.2174611885
80	0.2165183998
81	0.2155811377
82	0.2152236487
83	0.2146071164
84	0.2141709467
85	0.2136544306
86	0.2127426434
87	0.2123118736
88	0.2116384141
89	0.2113548896
90	0.2111006269
91	0.2104714001
92	0.2098631754
93	0.2090386541
94	0.2085269511
95	0.2081520874
96	0.2080808498
97	0.2076424338
98	0.2070297576
99	0.2066724616
