iter	Passed	Remaining
0	4	423
1	8	395
2	12	396
3	16	397
4	20	396
5	25	403
6	30	401
7	34	398
8	39	395
9	43	388
10	47	384
11	51	377
12	55	372
13	60	368
14	64	362
15	68	358
16	72	352
17	75	346
18	79	340
19	83	333
20	87	328
21	91	324
22	95	318
23	99	314
24	103	309
25	107	304
26	110	299
27	114	294
28	118	290
29	122	285
30	126	280
31	130	276
32	134	272
33	138	268
34	142	263
35	146	260
36	150	255
37	154	251
38	157	247
39	168	253
40	172	248
41	175	242
42	179	237
43	182	232
44	186	228
45	190	223
46	193	218
47	197	214
48	201	209
49	205	205
50	208	200
51	212	196
52	216	191
53	219	187
54	223	182
55	227	178
56	231	174
57	234	170
58	238	165
59	242	161
60	246	157
61	250	153
62	254	149
63	258	145
64	261	141
65	265	136
66	269	132
67	273	128
68	277	124
69	281	120
70	285	116
71	288	112
72	292	108
73	296	104
74	300	100
75	303	95
76	308	92
77	311	87
78	315	83
79	319	79
80	323	75
81	327	71
82	332	68
83	336	64
84	340	60
85	344	56
86	348	52
87	352	48
88	355	43
89	359	39
90	362	35
91	366	31
92	370	27
93	374	23
94	378	19
95	382	15
96	386	11
97	390	7
98	394	3
99	398	0
